Year,Thermal,Nuclear,Hydro,Res,Total
1990,43764,1565,18307,,63636
1991,45768,1565,18753,,66086
1992,48086,1785,19194,,69065
1996,60083,2225,20986,,83294
1997,61012,2225,21658,900,85795
1998,64005,2225,21904,968,89102
1999,67566,2225,22479,1024,93294
2000,70193,2680,23857,1155,97885
2001,72343,2860,25153,1270,101626
2002,74429,2720,26269,1628,105046
2003,76762,2720,26767,1628,107877
2004,77969,2720,29507,2488,112684
2005,80902,2770,30942,3812,118426
2006,82410,3360,32326,6191,124287
2007,86015,3900,34654,7760,132329
2008,91907,4120,35909,11125,143061
2009,93725,4120,36878,13242,147965
2010,102454,4560,36863,15521,159398
2011,112824,4780,37567,18455,173626
2012,131603,4780,38990,24504,199877
2013,151531,4780,39491,27542,223344
2014,168255,4780,40531,34988,248554
2015,188898,5780,41267,38959,274904
2016,210675,5780,42783,45924,305163
2017,218330,6780,44478,57244,326833
2018,222907,6780,45293,69022,344002
